Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
7470012400,255700,0.1662,0,0,943.0,1558,1.0,5,4,0,0,0,0,0,0,1,1.0,2,1.0,1973
7470012690,98500,0.0501,0,0,943.0,424,1.0,3,1,0,0,0,0,0,0,0,1.0,1,1.0,1963
7470013740,375000,0.3896,0,0,943.0,2656,1.0,6,4,0,0,0,0,0,0,1,1.5,3,1.75,1977
7470014790,352000,0.2444,0,0,943.0,1600,1.0,6,4,0,0,0,0,0,0,1,1.0,4,2.0,1970
7470015030,148000,0.2738,0,0,943.0,1126,1.0,6,4,1,1,0,1,0,0,1,1.0,3,1.0,1985
7470020210,114000,0.1767,0,0,943.0,963,1.0,6,3,1,1,0,1,0,1,0,1.0,3,1.0,1968
7470020540,207000,0.1124,0,0,943.0,609,1.0,6,3,0,0,0,1,0,1,0,1.0,2,1.0,1974
7470021340,159500,0.0955,0,0,943.0,600,1.0,6,1,0,1,1,0,0,0,0,2.0,2,1.5,1980
7470021940,325950,0.2594,0,0,943.0,1840,1.0,6,4,0,0,0,0,0,0,0,1.5,4,1.0,1994
7470022150,275000,0.1342,0,0,943.0,1572,1.0,6,4,0,1,0,1,0,0,1,1.5,4,1.0,1974
7470022540,330000,0.1365,0,0,943.0,996,1.0,6,4,0,1,1,0,0,0,0,1.0,4,1.5,2000
7470022710,188100,0.0895,0,0,943.0,1008,1.0,6,4,1,1,0,1,0,0,1,1.0,3,1.0,2005
7470023360,163000,0.1634,0,0,943.0,956,1.0,6,4,0,0,0,0,0,0,1,1.5,2,1.0,1964
7470023692,205000,0.1148,0,0,943.0,1164,1.0,6,4,0,0,0,0,0,0,0,1.0,2,1.0,1981
7470024000,142500,0.106,0,0,943.0,1122,0.65,2,4,0,1,1,1,0,1,0,1.0,2,1.75,1966
7470025230,365000,0.1629,0,0,943.0,1116,1.0,6,4,0,0,0,0,0,0,1,1.0,2,1.0,1968
7470025600,180000,0.0688,0,0,943.0,1428,1.0,6,4,0,0,0,0,0,0,0,1.5,2,1.0,1961
7470030640,331500,0.1206,0,0,943.0,1448,1.0,6,2,0,0,0,0,0,0,1,1.0,3,1.75,1976
7470030990,345000,0.0896,0,0,943.0,1121,1.0,6,4,1,1,0,1,0,0,0,1.0,3,1.0,1978
7470031030,305000,0.1629,0,0,943.0,1222,1.0,6,5,1,1,1,1,0,0,1,1.0,5,1.0,1972
7470031750,269000,0.0803,0,0,943.0,1418,1.0,6,4,0,1,0,1,0,0,1,1.5,4,2.0,1974
7470032170,255000,0.1206,0,0,943.0,2048,1.0,6,2,0,0,0,0,0,0,0,2.0,4,1.75,1970
7470032280,310000,0.1613,0,0,943.0,1492,1.0,6,3,0,0,0,0,0,0,1,1.0,3,1.5,1975
7470033550,223000,0.1147,0,0,943.0,768,1.0,6,3,0,0,0,0,0,0,0,1.0,2,1.0,1989
7470033640,338000,0.1652,0,0,943.0,1762,1.0,6,3,0,0,0,0,0,0,0,1.5,3,1.75,1977
7470033850,175000,0.0925,0,0,943.0,837,1.0,6,4,0,1,0,1,0,0,1,1.0,2,1.0,1968
7470034820,362000,0.0619,0,0,943.0,1254,1.0,6,2,0,0,0,0,0,0,1,1.0,2,1.5,1974
7470034890,195000,0.1251,0,0,943.0,1030,1.0,6,4,1,0,0,1,0,0,0,1.0,3,1.0,1956
7470035190,249950,0.0955,0,0,943.0,960,1.0,6,4,0,0,0,1,0,1,0,1.0,2,1.0,1985
7475010060,349950,0.1176,0,0,1054.0,1099,1.0,6,5,0,1,1,1,0,0,1,1.0,4,1.75,1980
7475011420,235000,0.1377,0,0,1054.0,984,1.0,6,4,0,0,0,0,0,0,0,1.0,2,1.0,1968
7475011430,400000,0.1377,0,0,1054.0,1354,1.0,4,3,0,0,0,0,0,0,0,1.0,3,2.0,1955
7475012370,650000,0.1377,1,0,1054.0,2304,1.0,6,4,0,0,0,0,0,0,1,1.5,3,2.0,1984
7475012530,543532,0.1377,0,0,1054.0,1417,1.0,6,5,0,1,1,1,0,1,1,1.5,4,2.25,2004
7475012810,287000,0.1865,0,0,1054.0,1064,1.0,6,4,0,0,0,0,0,1,0,1.0,2,1.0,1973
7475013310,555000,0.1267,0,0,1054.0,1348,1.0,6,5,0,1,1,1,0,0,1,1.0,4,2.75,2000
